latitude,longitude,username,tweettext
#oscar 
#GlóriaPires… https://t.co/AYJTqhvltk
34.06621709,-118.4129506,Tatum Miranda *Venus,Today on the #redcarpet at the #Nightof100Stars #Oscar viewing party! #oscarparties #nygardslims… https://t.co/IGML3NzxM1
34.1132647,-118.31459212,StileXpress,#Oscar töreni sonras? verilen #afterparty'lerden en çok kat?l?m #VanityFair'in davetine oldu.… https://t.co/O0VeL3AuPK
34.0522,-118.243,Sergey Timofeev,?????????? #?????, ?? ??????? #????????/Congratulations to Oscar, you got Leonardo
#oscar #leo… https://t.co/qYKyVKp3OC
34.10049113,-118.34485841,Chelsea Lauren,Tears of joy for @brielarson after seeing her name on her #bestactress #Oscar for the first… https://t.co/3nmjSYp8kj
34.0522,-118.243,Ben Cooke,My 3 favourite hair looks from #oscar last night. Simple and super chic. #cateblanchett… https://t.co/HxFuXG94WD
34.0496721,-118.4645888,Alex Cubis,Congratulations to @SpotlightMovie & @nicolerocklin for an incredibly important film and the #Oscar win! ? https://t.co/NWoMMMw1SE
34.10244285,-118.33933374,Naufal Haritsyah,??
•
•
•
•
#leonardodicaprio #oscar #TheRevenant #HughGlass @ Dolby Teather https://t.co/7Te3Xu1WKn
34.06754168,-118.39774241,SunHee Grinnell,@kiehlsprez One more! Our #oscar #tradition ????? Love it! @ Spago Beverly Hills https://t.co/XKuLvGGS84
34.10165723,-118.33970206,Hannah Stoudemire,I set my goal. I met my goal. Oscars 2016! ?? 
#accomplished 

#blessed #oscar #oscars2016… https://t.co/gasNsFPaix
34.10244285,-118.33933374,Yang Chien-Hsuan,-
Jack & Rose ???
#wcw #ootd #tbt #Oscar #LA #2016 #Hollywood #Dolbytheatre #movie #love… https://t.co/mjaONtsAYY
34.0522,-118.243,Karan Dhillon ??,#Indian relatives of #Leonardo #DiCaprio #celebrating his #Oscar… https://t.co/it062TTlhw
34.10049113,-118.34485841,Andrew Cole,You gotta love this pose.  #leonardodicaprio FINALLY 
#bestactor #oscar #academyawards #fuckyou… https://t.co/2y48CySH59
-18.93650686,-48.28870829,Juliana Talala,Buongiorno così  ?? ??? #EnnioMorricone #Oscar #MelhorTrilha #Tarantino #Django #BomDia @ Spazio… https://t.co/wsTWeEs5zn
34.1026192,-118.3395081,DAVID MAGDAEL,Filipinos be #backstage #rubenNepales #Oscar #sunday #yay @ Dolby Theatre https://t.co/JRsVyVrqcj
-21.18832,-47.81148,Kako Lopez !,E não é que ele conseguiu !!! #Oscar #leonardodicaprio #bomdia #bomdiaa #bomdiaaa #segundafeira… https://t.co/tA9jH4E9Yi
34.10165723,-118.33970206,DAVID MAGDAEL,Whew. We done. Long day. Big fun with big bro and #Oscar dragon52b #BennyMagdael @ The Oscars… https://t.co/CJ4VJDePZa
33.95803,-118.44971,Danny,#leonardodicaprio #oscar @ Playa Provisions https://t.co/pPXBEE2F3O
34.098122,-118.331915,funjetsetter,Fox Oscar Party #lovemylife #funjetsetters #followmearoundtheworld #oscar #2016 @ The Hollywood… https://t.co/TjGOz0Sp9A
-5.0949,-42.8042,Péricles Mendel,Leonardo DiCaprio mereceu ganhar o Oscar por O Regresso #oscar #oscars #oscar2016 @ Teresina https://t.co/UBgvjXy7f3
34.10121712,-118.32561318,Nikki Balzzz,Chillin w my oldddd friend @glassthetramp at the #kevinhart #oscar party ? so good to see old… https://t.co/zwhfg4QCA5
-3.72544534,-38.50140894,Victor Bayma,#Oscar (@ Loft Praia in Fortaleza, Ceará) https://t.co/khFFBlk6BQ
-6.5215,106.88595,Putra Atok,@indditcom: Mad Max: Fury Road, Si Kuda Hitam yang Berhasil Meraih 6 #Oscar https://t.co/IgXN9CqALd https://t.co/DZz4YKYJLG
34.0879,-118.372,Raquelle David,Little Aussie girl next to #tommccarthy holding the #bestpicture #Oscar for #Spotlight what an… https://t.co/2ctLCeLfFp
34.09694804,-118.36302632,?????? Online,Leo! Oscar! Done! 
#revenant 
#leonardodicaprio 
#oscar @ Kodak Theater https://t.co/pMz2QircZW
34.09230076,-118.33847204,saba saba,Great nite great performances @ the #Oscar after party. @summerrona  amazing voice you blessed… https://t.co/NroeVC6R02
34.10165723,-118.33970206,COCO FASHION BLOGGER,#oscar2016 #oscar #redcarpet #jenniferlawrence @ The Oscars Red Carpet https://t.co/QYrdI6fFlT
34.20842112,-118.39747824,COCO FASHION BLOGGER,#oscar #redcarpet #tinafey #versace @ Red Carpet for the Oscar's https://t.co/sz8tXa2620
34.0522,-118.243,Milos Dragicevic,I do not take this night for granted. 

#leonardodicaprio #oscar #oscars #finally #love @ Los… https://t.co/8490kQhjyH
34.15442803,-118.33970867,PRANAV SAHANI,The first #oscar and 6 nominations...
And the moment we've all been waiting for since 'What's… https://t.co/csPg16Xs9E
34.1016005,-118.34118954,Ay ErgürselYe?iltepe,Oscar ödüllü ald?...
#oscar #ödülleri #hollywood @ Oscar Theater - Hollywood https://t.co/m9yABzq0Jo
34.1026192,-118.3395081,Paolo Vasone,#oscar #enniomorricone #tarantino #thehatefuleight #movie #film
MUSIC (ORIGINAL… https://t.co/AMrKoGDSbD
34.08340506,-118.38528015,The Abbey,One of our favorite #Oscar moments.. The beautiful & talented @ladygaga's powerful performance.… https://t.co/Cy2PcUNSqH
