latitude,longitude,username,tweettext
34.0672703,-118.3873113,descole's dark side,congrats leo ? #oscar #leonardodicaprio #leo #therevenant #ilétaittemps #actor @ The Academy https://t.co/NTvBS1SuFz
34.09306091,-118.3269925,ANDI COSMETICS,LARRY DUNN! Earth Wind & Fire!! #oscar #fashion #RedCarpet #larrydunn @ Taglyan Cultural Complex https://t.co/wBW7OPGXKn
34.0522,-118.243,Denis Gorbatenko,Not bad #congratulations #leonardodicaprio #oscar #oscardicaprio @… https://t.co/ffKTwGsaQZ
34.1016252,-118.3451626,MUSAED ALSANEA,????? ????? #leonardodicaprio ? #oscar #therevenant #academyawards @ The Dolby Theatre ~… https://t.co/0KZ2Z9B6x7
34.1802,-118.328,TheRealRenaOwen,Thank U #larrybock for awesome #oscar gathering! Great peeps
34.10259023,-118.3402883,RioMangini,#YAY! #Dad!!! #AcademyAwards #oscar #winner #MadMadFuryRoad !! ?????????????????? @ Dolby… https://t.co/StJpkgtrRg
34.10165723,-118.3397021,Hannah Stoudemire,I've always dreamed in Gold ???? Oscars 2016!! 
34.0906651,-118.3642799,Martin Sofiedal,The gritty Oscar selfie??? #oscars2016 #oscar #2016 #hollywood #film #filmdirector #awesome… https://t.co/FPBnbnx8so
34.10249763,-118.3393196,Peter Sark,Congrats to leonardodicaprio #Oscars #Oscars2016 #Leo #LeonardoDicaprio #Oscar #Hollywood… https://t.co/PzXZWQA2hj
33.99083,-118.45917,saki,??????????Oscar
-7.9865998,112.6717571,Rizki R. Maharani,Selamat ya mas Leo... @TheAcademy: The #Oscar for Actor in a Leading Role goes to… https://t.co/m2er0zFJdj
34.11884489,-118.300462,Lindsay Stamhuis,Checking out the stars on #Oscar Night...#eyooooooo @ Griffith Observatory https://t.co/rij9Q6CNhs
-6.2173,106.839,Bogdan Vlase,#Repost ifawhq
34.10165393,-118.3263645,Spin My Planet,Congrats leonardodicaprio on the well deserved #Oscar win! You've always been our ?????? #Leo… https://t.co/F4GtqxV8o2
34.051111,-118.411389,TJ Jacques,#ColumbiaCollege #Oscar #Party where I got to hold the #AcademyAward for best picture in 1947… https://t.co/qAgeA6qnxO
34.09306091,-118.3269925,ANDI COSMETICS,Andi Cosmetics!! #oscar #sponsor #Fashion #AndiCosmetics #makeup @ Taglyan Cultural Complex https://t.co/HLNkqztBYM
34.0522,-118.243,Irina,His Oscar! ???
34.1132647,-118.3145921,Samantha Raphael,Thanks for #lancomemakeup lancomeofficial for the after party gift #Oscar #party #VFSC… https://t.co/pu8r3tf7Lv
34.1026192,-118.3395081,Alvaro Mangas,Finally I get my #oscar too #oscars2016 #dolbytheatre #redcarpet @ Dolby Theatre https://t.co/mHgeQEleuO
33.97875978,-118.4673476,susan sebanc,Today i learned that in LA
34.10165393,-118.3263645,Adrian Nicolas,El Oso  se merece un Oscar  #Oscars2016 #Oscar #LeonardoDiCaprio #ElRenacido @ Hollywood https://t.co/X69s7ZvrHD
34.0541077,-118.4638443,Fatima Malik,#Irish actress @bekkawainwright dressed for a night at the @instyle #Oscar #party at #baltaire… https://t.co/7d42KZdYpP
34.14939725,-118.3380011,Raj Rawal,They don't want you to have an #Oscar. @ Warner Brothers Studios Back Lot https://t.co/nYg7ZDu6Ns
34.09752831,-118.2060876,marianela,Still buzzing over my #Oscar worthy night. 6
34.0304,-118.779,Judah,leonardodicaprio finally wins an #oscar  #ahhhhhh?  @camerondburnett amandajplum @ Malibu
34.0522,-118.243,Syed Omer Nadeem,Because Leonardo DiCaprio won an Oscar??
34.07042419,-118.3512622,MR ROGER,#LeonardoDicaprio ? tutto meritato l'#oscar sei il top per impegno e… https://t.co/Khrj2aIJPz
34.1026192,-118.3395081,Katarina Van Derham,"Thank you Academy for the #Oscar in the ""Best Dressed"" category. I got many compliments tonight… https://t.co/nCpRTs1RpN"
34.0879,-118.372,Jc Olivera,Actress Bellamy Young attends The Elton John Aids Foundation #Oscar Viewing Party on February… https://t.co/nOJo0UaW8J
34.1,-118.3333333,megha merani,Epic. The power of @ladygaga #tillithappenstoyou #oscar #oscars #oscars2016 #ladygaga #hollywood… https://t.co/LaNjt9vhe1
34.10262,-118.33951,Kingsley Fernandes,Did #Leo really win an #oscar? @ The Oscars 88th Academy Awards 2016 https://t.co/GGADFlD57B
34.10138889,-118.3266667,Artem Kozhevnikov,???? ?? ?? ???????
34.09694804,-118.3630263,YOGAFAITH,Oscar night ???#oscaryoga #oscar #gold #oscars2016 #golden #yogaeverywhere #glam #yogafaith… https://t.co/iRgpyauLqe
-2.4509532,-54.7164618,Rodrigo Sousa,Obg pelo seu apoio urso. ?????
-8.744256,-63.8913466,Thallisson Lopes ?,Good night.. #the #oscar #goto #sono. @ David Motta Hair Stylist https://t.co/eq7ZcdQich
